prompt,true answer,subject,relation,relation id,object,template,cue entity start idx,cue entity end idx,true object first token id
Ambrose died in,London,Ambrose,place of death,P20,London,[X] died in [Y].,0,1,23421
Ambrose passed away in,London,Ambrose,place of death,P20,London,[X] passed away in [Y].,0,1,23421
Ambrose passed away at,London,Ambrose,place of death,P20,London,[X] passed away at [Y].,0,1,23421
Ambrose's life ended in,London,Ambrose,place of death,P20,London,[X]'s life ended in [Y].,0,1,23421
Timoleon died in,Syracuse,Timoleon,place of death,P20,Syracuse,[X] died in [Y].,0,1,50
Timoleon succumbed at,Syracuse,Timoleon,place of death,P20,Syracuse,[X] succumbed at [Y].,0,1,50
Fernandel lost their life at,Paris,Fernandel,place of death,P20,Paris,[X] lost their life at [Y].,0,2,40313
Fernandel succumbed at,Paris,Fernandel,place of death,P20,Paris,[X] succumbed at [Y].,0,2,40313
Jaidev died at,Mumbai,Jaidev,place of death,P20,Mumbai,[X] died at [Y].,0,2,44
Jaidev lost their life at,Mumbai,Jaidev,place of death,P20,Mumbai,[X] lost their life at [Y].,0,2,44
Curnonsky lost their life at,Paris,Curnonsky,place of death,P20,Paris,[X] lost their life at [Y].,0,3,40313
Fredegund lost their life at,Paris,Fredegund,place of death,P20,Paris,[X] lost their life at [Y].,0,2,40313
Ctesibius died at,Alexandria,Ctesibius,place of death,P20,Alexandria,[X] died at [Y].,0,3,15309
Ctesibius passed away at,Alexandria,Ctesibius,place of death,P20,Alexandria,[X] passed away at [Y].,0,3,15309
Ctesibius expired at,Alexandria,Ctesibius,place of death,P20,Alexandria,[X] expired at [Y].,0,3,15309
Theudigisel succumbed at,Seville,Theudigisel,place of death,P20,Seville,[X] succumbed at [Y].,0,3,50
Jugurtha died at,Rome,Jugurtha,place of death,P20,Rome,[X] died at [Y].,0,3,49
Jugurtha passed away at,Rome,Jugurtha,place of death,P20,Rome,[X] passed away at [Y].,0,3,49
Jugurtha expired at,Rome,Jugurtha,place of death,P20,Rome,[X] expired at [Y].,0,3,49
Irenaeus's life ended in,Lyon,Irenaeus,place of death,P20,Lyon,[X]'s life ended in [Y].,0,2,43
Guercino expired at,Bologna,Guercino,place of death,P20,Bologna,[X] expired at [Y].,0,2,33
Guercino lost their life at,Bologna,Guercino,place of death,P20,Bologna,[X] lost their life at [Y].,0,2,33
MessagePad is produced by,Apple,MessagePad,manufacturer,P176,Apple,[X] is produced by [Y].,0,1,16108
MessagePad is developed by,Apple,MessagePad,manufacturer,P176,Apple,[X] is developed by [Y].,0,1,16108
MessagePad is created by,Apple,MessagePad,manufacturer,P176,Apple,[X] is created by [Y].,0,1,16108
"MessagePad, created by",Apple,MessagePad,manufacturer,P176,Apple,"[X], created by [Y].",0,1,16108
Exmor is created by,Sony,Exmor,manufacturer,P176,Sony,[X] is created by [Y].,0,1,32895
"Exmor, created by",Sony,Exmor,manufacturer,P176,Sony,"[X], created by [Y].",0,1,32895
Sapsan is created by,Siemens,Sapsan,manufacturer,P176,Siemens,[X] is created by [Y].,0,2,50
