question,true answer,false answer,answer start idx,true answer log prob,false answer log prob,is hallucination
when was the last time anyone was on the moon,14 December 1972 UTC,1985,13,-10.522286415100098,-10.231532096862793,1
who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Paul McCartney,14,-6.4065117835998535,-7.977137565612793,0
how many seasons of the bastard executioner are there,one,4 seasons,13,-8.432926177978516,-9.286043167114258,0
when did the eagles win last super bowl,2017,2008,12,-8.19880199432373,-8.60496997833252,0
who won last year's ncaa women's basketball,South Carolina,Stanford University,14,-10.045967102050781,-7.679670333862305,1
when did the isle of wight become an island,During the last Ice Age,1850,14,-9.885443687438965,-13.132224082946777,0
love yourself by justin bieber is about who,Rihanna,Selena Gomez,14,-10.602705001831055,-15.302783012390137,0
who was the ruler of england in 1616,James I,Queen Elizabeth I,13,-7.055685520172119,-8.001172065734863,0
what is the hot coffee mod in san andreas,a normally inaccessible mini-game,A hidden coffee shop,14,-9.746077537536621,-7.608945369720459,1
what is the maximum data rate for the 802.11a standard select one,54 Mbit\/s,200 Mbps,18,-11.182184219360352,-11.034215927124023,1
which state is located in the centre of india,Chhattisgarh,Uttar Pradesh,13,-15.069287300109863,-10.90945816040039,1
who sang i ran all the way home,The Impalas,Frank Sinatra,11,-11.25833511352539,-15.792730331420898,0
where did the last name wallace come from,a Scottish surname,Ancient Rome,12,-7.853097915649414,-8.367749214172363,0
who was the actor that played ben stone on law and order,Michael Moriarty,Tom Hanks,15,-13.308549880981445,-11.893768310546875,1
who does the voice of nala in the lion king,Niketa Calame,Jennifer Aniston,14,-12.753576278686523,-16.393728256225586,0
who plays gram on the young and the restless,Max Shippee,Meryl Streep,12,-12.813065528869629,-16.205081939697266,0
what is the oath that new citizens take,United States Oath of Allegiance,The Freedom Pledge,11,-13.215932846069336,-8.346686363220215,1
who is under the mask of darth vader,Anakin Skywalker,Luke Skywalker,13,-10.607121467590332,-7.93644905090332,1
who had a baby at 100 in the bible,Sarah,Noah,12,-8.04798412322998,-6.566466331481934,1
what age do you need to be to buy a bb gun,18,25,16,-7.860586166381836,-10.827859878540039,0
ethiopia flight 961 crashes in to the sea,23 November 1996,Pilot error,14,-10.898887634277344,-9.68447494506836,1
where was percy jackson and the olympians filmed,Vancouver,New York City,15,-6.233912944793701,-9.098745346069336,0
how many seasons of vampire diaries r there,eight,10 seasons,12,-10.321764945983887,-9.741575241088867,1
how many episodes are there in dragon ball z,291 episodes,350 episodes,12,-11.161105155944824,-11.65846061706543,0
who plays auggie in the movie the wonder,Jacob Tremblay,Tom Holland,13,-15.142312049865723,-9.169955253601074,1
when was the first australian prime minister elected,Sir Edmund Barton,1905,13,-8.681925773620605,-10.951835632324219,0
who plays matthew on anne with an e,R. H. Thomson,Chris Hemsworth,13,-9.210204124450684,-16.785083770751953,0
who is the girl in green day 21 guns,Lisa Stelly,Emma Watson,12,-11.604388236999512,-10.317216873168945,1
who plays joker in batman the dark knight,Ledger,Johnny Depp,13,-13.56123161315918,-15.351364135742188,0
when was the south asian association for regional co-operation (saarc) formed,December 1985,1988,20,-11.207856178283691,-10.84260368347168,1
when was the first hunger games book published,"September 14, 2008",2005,11,-10.591070175170898,-9.942594528198242,1
who did bette midler portray in the rose,Mary Rose Foster,Janis Joplin,13,-7.151710033416748,-14.415387153625488,0
who is the lead singer of depeche mode,David Gahan,Bono,13,-11.167396545410156,-9.89025592803955,1
where did the butchers in the slaughterhouse cases live,New Orleans,New York City,14,-8.809894561767578,-8.941703796386719,0
who developed the concept of total quality management,W. Edwards Deming,Henry Ford,11,-13.502474784851074,-7.720914840698242,1
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,Elton John,13,-9.083477020263672,-10.822436332702637,0
where does no game no life anime end,the Elkia Federation,Season 3 finale,11,-8.42532730102539,-9.1351318359375,0
when did taylor swift's first album release,"October 24, 2006",2004,12,-10.750838279724121,-9.283296585083008,1
what are the three fifty shades of grey books,Fifty Shades of Grey,"Fifty Shades Darker, Fifty Shades Freed, Fifty Shades of Grey: Retold",12,-11.146780014038086,-11.770796775817871,0
who has the power (judicial) to make decisions in courts of law,judges,The President,17,-10.181685447692871,-8.98115348815918,1
what are the ranks in the us navy,E-8s senior chief petty officer,"Cadet, Ensign, Lieutenant",11,-9.14564323425293,-13.186999320983887,0
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,Al-Khwarizmi,19,-12.52628231048584,-12.492095947265625,1
who is the coach for the ottawa senators,Guy Boucher,Wayne Gretzky,13,-14.909750938415527,-15.92933464050293,0
last episode of what happens to my family,53,Episode 100,11,-8.788620948791504,-9.088590621948242,0
when is the last time the vikings were in the nfc championship,1976,2005,18,-10.135088920593262,-8.307525634765625,1
what are the colors of the netherlands flag,blue,"Red, white, and blue",13,-7.271941184997559,-8.650469779968262,0
where is lord's prayer found in bible,in the Gospel of Luke,Matthew 5,11,-8.10071086883545,-10.584571838378906,0
location of the ten commandments in the bible,Exodus,Genesis 20,11,-12.364992141723633,-9.056467056274414,1
what is the meaning of veronica in english,she who brings victory,"Veronica means ""true image"" in English.",12,-8.197077751159668,-9.769047737121582,0
what is the name of the main artery which takes blood from the heart to the body,The aorta,The main artery is called the Cardiac Artery.,20,-11.969258308410645,-11.598042488098145,1
who played solomon in little house on the prairie,Todd Bridges,Solomon was played by Tom Cruise.,14,-10.574152946472168,-9.857098579406738,1
who does eric end up with in that 70s show,Donna,Eric ends up with Laurie in That '70s Show.,15,-6.898853302001953,-12.463493347167969,0
an object that moves around an external axis is said to be,revolution or orbital revolution,"An object moving around an external axis is said to be in ""centrifugal motion.""",15,-11.198782920837402,-11.198113441467285,1
architectural elements forming rib vaults eg wells cathedral,an armature of piped masonry,"Architectural elements forming rib vaults are called ""Gothic arches.""",12,-10.567028045654297,-12.466680526733398,0
who sang the song good morning good morning,Gene Kelly,"""Good Morning Good Morning"" was sung by The Rolling Stones.",11,-8.589917182922363,-9.734810829162598,0
who wrote papa got a brand new bag,James Brown,"""Papa Got a Brand New Bag"" was written by Stevie Wonder.",12,-7.971564769744873,-11.394384384155273,0
where does a roadrunner live in the desert,mountainous shrubland,A roadrunner lives in the Sahara Desert.,12,-13.252249717712402,-11.26733112335205,1
who wrote it's a long long way to pasadena,John Young,"""It's a Long Long Way to Pasadena"" was written by Bob Dylan.",14,-8.492091178894043,-9.280023574829102,0
what's the dog's name on tom and jerry,Spike,The dog's name on Tom and Jerry is Fido.,14,-8.99740219116211,-10.327381134033203,0
who are nominated for president of india 2017,Meira Kumar,Nominated for President of India 2017 were Amitabh Bachchan and Sachin Tendulkar.,12,-12.548876762390137,-12.15771770477295,1
where does the path train stop in newark,Newark Penn Station,The PATH train stops at Newark Central Station.,12,-9.13815689086914,-8.874034881591797,1
where does route 66 start on the west coast,in Santa Monica,Route 66 starts in San Francisco on the West Coast.,12,-12.006277084350586,-10.964929580688477,1
who is the first wife on sister wives,Meri,The first wife on Sister Wives is Christine Brown.,11,-13.991501808166504,-9.72612190246582,1
when did houston go to the american league,2013,Houston went to the American League in 2005.,13,-8.69351577758789,-9.531530380249023,0
when did they stop cigarette advertising on television,"January 2, 1971",Cigarette advertising on television stopped in 1990.,11,-10.223978996276855,-10.515018463134766,0
coldplay song i will try to fix you,"""Fix You""","Coldplay's song is called ""I Will Try to Mend You.""",12,-11.651927947998047,-11.297259330749512,1
points on a sphere or angles in a circle are measured in units called,radians,"Points on a sphere are measured in ""spherical degrees.""",17,-12.51557731628418,-10.570886611938477,1
the oligodynamic effect is a phenomenon that describes,a biocidal effect of metals,The oligodynamic effect describes the process of water purification.,12,-10.517796516418457,-11.647573471069336,0
where does the white witch live in narnia,her castle,The White Witch lives in the Ice Palace in Narnia.,13,-8.904321670532227,-10.41434097290039,0
how many games in a row have the uconn women's basketball team won,111 straight wins,The UConn women's basketball team won 100 games in a row.,18,-10.202091217041016,-11.242769241333008,0
is there a name for the at symbol,commercial at,"The ""at"" symbol is called the ""snail.""",11,-8.281333923339844,-9.99386215209961,0
who sings the theme song for the tv show cops,Inner Circle,The theme song for the TV show Cops is sung by U2.,13,-9.286911010742188,-9.765707969665527,0
when was corporal punishment banned in south africa,1997,Corporal punishment was banned in South Africa in 2000.,13,-10.44720458984375,-12.18871784210205,0
who plays captain phasma in star wars the force awakens,Gwendoline Christie,Captain Phasma is played by Natalie Portman.,15,-17.173791885375977,-14.109437942504883,1
who sings she's like the wind lyrics,Wendy Fraser,"""She's Like the Wind"" is sung by Elton John.",11,-10.365667343139648,-10.802240371704102,0
when did marathon change its name to snickers,19 July 1990,Marathon changed its name to Snickers in 1995.,12,-10.801094055175781,-12.422659873962402,0
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,Christopher Columbus captained the first European ship to sail around the tip of Africa.,20,-11.791789054870605,-10.436578750610352,1
who ordered the forbidden city to be built,Zhu Di,The Forbidden City was ordered to be built by Emperor Qin Shi Huang.,11,-7.081334114074707,-10.141016006469727,0
who sang let me tell you about the birds and the bees,Jewel Akens,"""Let Me Tell You About the Birds and the Bees"" was sung by Frank Sinatra.",15,-10.659402847290039,-12.020954132080078,0
who has the power to approve or veto legislation constitution,the President,The Senate has the power to approve or veto legislation constitution.,13,-7.966798305511475,-10.120595932006836,0
how many seasons of the rugrats are there,9 seasons,There are 12 seasons of Rugrats.,12,-9.714460372924805,-12.62782096862793,0
who is the minister of local government in zimbabwe,Hon July Moyo,The Minister of Local Government in Zimbabwe is Robert Mugabe.,13,-11.316354751586914,-10.558069229125977,1
what was the initial effect of the transition from command to market economies in eastern europe,Inequality of opportunity,The initial effect of the transition was a decrease in GDP.,20,-12.484066009521484,-10.023014068603516,1
when did toyota start making cars in the us,by the early 1980s,Toyota started making cars in the US in 1985.,13,-9.267974853515625,-9.387590408325195,0
how many pieces in a terry's chocolate orange,six,There are 16 pieces in a Terry's Chocolate Orange.,13,-8.592124938964844,-9.834442138671875,0
who plays the saint of killers on preacher,Graham McTavish,The Saint of Killers on Preacher is played by Brad Pitt.,11,-15.187362670898438,-11.232236862182617,1
when did the royal proclamation of 1763 end,the American Revolutionary War,The Royal Proclamation of 1763 ended in 1783.,12,-9.036054611206055,-13.344655990600586,0
who is playing the halftime show at super bowl 2016,Beyoncé,The halftime show at Super Bowl 2016 was performed by Maroon 5.,13,-15.066832542419434,-10.800999641418457,1
jonny cash one piece at a time car,Cadillac,"Johnny Cash's ""One Piece at a Time"" car is a Cadillac.",13,-6.580621242523193,-9.618888854980469,0
what is the minimum wage in france per hour,11.16,The minimum wage in France per hour is €12.,13,-10.105010986328125,-9.917317390441895,1
describe the three phases of the normal blood clotting process,blood coagulation,"The three phases of blood clotting are initiation, amplification, and termination.",14,-14.284048080444336,-11.10271167755127,1
when did amnesia the dark descent come out,8 September 2010,Amnesia: The Dark Descent was released in 2012.,12,-9.819103240966797,-12.497848510742188,0
what is the oldest street in the philippines,Cebu City,The oldest street in the Philippines is Calle Crisologo.,13,-11.18647289276123,-9.78929328918457,1
where is the tibia and fibula bone located,leg,The tibia and fibula bones are located in the forearm.,13,-10.102606773376465,-11.994462966918945,0
who played bat masterson in the tv series,Gene Barry,Bat Masterson was played by Clint Eastwood in the TV series.,12,-8.37289047241211,-11.327031135559082,0
